Registrant ID,TIMESTAMP,Time_Now,Days,Hours,Minutes,Seconds
HPNZGSDMQMX,2014-07-09 11:07:47,2014-07-14 08:25:16,4,21,17,29
F5NZRZ3YVRD,2014-07-09 08:40:07,2014-07-14 08:25:16,4,23,45,9
FHNBTNMV3MP,2014-07-08 12:26:56,2014-07-14 08:25:16,5,19,58,20
ZHN7W97Z955,2014-07-08 13:26:38,2014-07-14 08:25:16,5,18,58,38
ZKNWRVBTXZ2,2014-07-08 13:25:42,2014-07-14 08:25:16,5,18,59,34
HGNYD3V77CQ,2014-07-07 19:13:24,2014-07-14 08:25:16,6,13,11,52
HJN6JRBWR3Z,2014-07-08 11:39:52,2014-07-14 08:25:16,5,20,45,24
KNNHPH2YTPX,2014-07-07 14:35:10,2014-07-14 08:25:16,6,17,50,6
JPNX3YQ5GV3,2014-07-08 10:35:18,2014-07-14 08:25:16,5,21,49,58
ZFN8QQ3RSP7,2014-07-07 20:00:46,2014-07-14 08:25:16,6,12,24,30
ZFN8QQ3RSP7,2014-07-09 13:31:24,2014-07-14 08:25:16,4,18,53,52
GTNVDYQPLXT,2014-07-08 13:26:46,2014-07-14 08:25:16,5,18,58,30
ZPNZYQRYRP9,2014-07-07 14:13:24,2014-07-14 08:25:16,6,18,11,52
N5N8T5CKSXY,2014-07-07 17:06:37,2014-07-14 08:25:16,6,15,18,39
HNNDMTZHK7R,2014-07-08 13:01:44,2014-07-14 08:25:16,5,19,23,32
ZDNF7FBYH54,2014-07-08 08:41:20,2014-07-14 08:25:16,5,23,43,56
N9NJ275XPMZ,2014-07-09 11:21:16,2014-07-14 08:25:16,4,21,4,0
KMNC8ML97ZK,2014-07-07 17:10:34,2014-07-14 08:25:16,6,15,14,42
KMNC8ML97ZK,2014-07-07 17:42:25,2014-07-14 08:25:16,6,14,42,51
JYNLNB87C73,2014-07-07 14:55:58,2014-07-14 08:25:16,6,17,29,18
N4N4QCSJWQX,2014-07-07 15:48:03,2014-07-14 08:25:16,6,16,37,13
P8N4TSH8SL3,2014-07-08 16:37:45,2014-07-14 08:25:16,5,15,47,31
LHNKDQDD8G3,2014-07-07 20:01:11,2014-07-14 08:25:16,6,12,24,5
LHNKDQDD8G3,2014-07-09 13:31:40,2014-07-14 08:25:16,4,18,53,36
PJNT3NKM6F4,2014-07-07 19:45:35,2014-07-14 08:25:16,6,12,39,41
G9NNGTMNLPJ,2014-07-08 08:44:18,2014-07-14 08:25:16,5,23,40,58
G9NNGTMNLPJ,2014-07-08 16:54:40,2014-07-14 08:25:16,5,15,30,36
F2NCWKFQ5FS,2014-07-09 11:12:11,2014-07-14 08:25:16,4,21,13,5
MDNSZPY6MLY,2014-07-08 16:17:20,2014-07-14 08:25:16,5,16,7,56
K7NW774HZMJ,2014-07-07 14:15:57,2014-07-14 08:25:16,6,18,9,19
K7NW774HZMJ,2014-07-07 19:13:16,2014-07-14 08:25:16,6,13,12,0
N6ND7Z47PGT,2014-07-08 11:40:25,2014-07-14 08:25:16,5,20,44,51
N6ND7Z47PGT,2014-07-08 12:26:32,2014-07-14 08:25:16,5,19,58,44
N6ND7Z47PGT,2014-07-08 12:26:46,2014-07-14 08:25:16,5,19,58,30
Z2NJRFDVDN6,2014-07-08 10:35:28,2014-07-14 08:25:16,5,21,49,48
VWN6ZZ99L3Q,2014-07-08 14:47:01,2014-07-14 08:25:16,5,17,38,15
GMN8T99TPMR,2014-07-07 18:20:02,2014-07-14 08:25:16,6,14,5,14
NTNS4MJ672W,2014-07-07 18:06:19,2014-07-14 08:25:16,6,14,18,57
V7NLG9GJ2B9,2014-07-09 12:52:35,2014-07-14 08:25:16,4,19,32,41
LGNFMNWML96,2014-07-09 11:37:13,2014-07-14 08:25:16,4,20,48,3
NMNP8S4HMDC,2014-07-08 14:34:21,2014-07-14 08:25:16,5,17,50,55
J6NT6YM6BYF,2014-07-09 13:08:53,2014-07-14 08:25:16,4,19,16,23
VBNHT8DPRD5,2014-07-08 15:11:35,2014-07-14 08:25:16,5,17,13,41
onsite095,2014-07-09 12:54:48,2014-07-14 08:25:16,4,19,30,28
HVN9P6WBWPD,2014-07-07 17:38:41,2014-07-14 08:25:16,6,14,46,35
KMNW7B2ZXV4,2014-07-08 13:13:04,2014-07-14 08:25:16,5,19,12,12
