Star_ID,velx,vely
1,-211,91
2,422,310
3,-460,403
4,-276,455
5,-340,229
6,215,-422
7,233,-312
8,-356,121
9,138,28
10,346,-126
11,-381,-458
12,-129,-353
13,295,121
14,213,134
15,462,344
16,427,-92
17,-434,47
18,432,196
19,-177,-68
20,-383,239
21,304,-479
22,-93,295
23,445,106
24,-218,428
25,88,-466
26,-191,248
27,-1,119
28,191,-82
29,-479,214
30,41,298
31,-366,-126
32,-30,-361
33,183,-113
34,101,381
35,495,386
36,-346,-24
37,314,326
38,242,373
39,390,-246
40,389,347
41,71,199
42,-35,-406
43,48,96
44,-296,-435
45,-213,-92
46,14,-423
47,158,-56
48,364,306
49,-452,19
50,389,-217
51,-167,66
52,-353,-486
53,405,2
54,-197,-104
55,-196,-256
56,-98,432
57,376,10
58,198,-310
59,267,-2
60,27,-151
61,-450,49
62,-289,-383
63,498,438
64,-174,35
65,203,107
66,486,-360
67,32,-45
68,163,387
69,60,341
70,377,-319
71,-384,314
72,-299,367
73,-179,-314
74,117,387
75,-75,-379
76,393,-201
77,13,497
78,-81,42
79,-98,426
80,-17,-280
81,-159,-361
82,-186,59
83,-423,254
84,-73,-373
85,3,259
86,-85,182
87,3,463
88,156,-182
89,-375,-483
90,-91,402
91,267,-452
92,155,-143
93,294,-345
94,-485,-94
95,186,-168
96,358,-269
97,386,348
98,342,-317
99,-97,-55
100,201,-160
101,288,299
102,-34,375
103,-130,377
104,-450,-255
105,143,-40
106,49,495
107,-209,-420
108,387,-257
109,-223,-99
110,268,322
111,-186,-380
112,244,337
113,470,255
114,298,-152
115,-488,478
116,-461,-422
117,-430,231
118,51,-463
119,-459,-448
120,234,-302
121,-396,-38
122,69,269
123,-93,146
124,401,334
125,-366,421
126,-261,-323
127,223,-233
128,356,215
129,147,294
130,-332,-130
131,87,58
132,-145,147
133,-359,-40
134,-144,-486
135,474,-330
136,384,-357
137,208,481
138,481,-150
139,-79,299
140,-134,282
141,-472,283
142,-380,-219
143,-12,250
144,63,-149
145,-395,126
146,-144,76
147,353,336
148,178,381
149,-67,-86
150,-237,171
151,484,463
152,-360,-187
153,-122,-229
154,137,188
155,-162,229
156,498,-3
157,193,416
158,391,-463
159,71,-484
160,393,-228
161,-111,-355
162,323,-352
163,-84,117
164,316,43
165,180,-196
166,117,372
167,-84,-475
168,67,-466
169,86,458
170,451,164
171,365,101
172,46,-450
173,-310,-334
174,450,-430
175,68,300
176,-18,186
177,167,-410
178,401,-170
179,-136,-262
180,485,-46
181,-21,95
182,-332,237
183,142,-91
184,-76,31
